sentence,image_schema
anger build up inside of them,CONTAINMENT
pentup anger,CONTAINMENT
explosive anger,CONTAINMENT
volcanic anger,CONTAINMENT
outlet for anger,CONTAINMENT
burst of anger,CONTAINMENT
explosion of anger,CONTAINMENT
outburst of anger,CONTAINMENT
anger have volcanic eruptions,CONTAINMENT
anger blows up into action,CONTAINMENT
anger burst out into action,CONTAINMENT
anger erupts into action,CONTAINMENT
anger explode into action,CONTAINMENT
They erupt with anger,CONTAINMENT
She bursts out with anger,CONTAINMENT
The sight filled her with fear.,CONTAINMENT
fear permeate them,CONTAINMENT
fear well up inside,CONTAINMENT
Sara’s heart becomes filled with fear,CONTAINMENT
John is full of fear,CONTAINMENT
Mary contains fear,CONTAINMENT
This truly fills them with fear.,CONTAINMENT
This situation really puts fear in them.,CONTAINMENT
fear filled him,CONTAINMENT
fear pour out,CONTAINMENT
pent up fear,CONTAINMENT
He was overflowing with joy,CONTAINMENT
heart swell with joy,CONTAINMENT
It swelled his heart with joy,CONTAINMENT
Joy pour into heart,CONTAINMENT
She brims over with joy,CONTAINMENT
joy seeps from her,CONTAINMENT
overflowing joy,CONTAINMENT
inner joy,CONTAINMENT
He is filled with joy.,CONTAINMENT
It contains joy,CONTAINMENT
He filled her heart with joy,CONTAINMENT
He left her empty of joy,CONTAINMENT
Anna’s heart filled with joy,CONTAINMENT
explosion of joy,CONTAINMENT
Tom explodedt with joy,CONTAINMENT
joy burst in their heart,CONTAINMENT
joy burst through him,CONTAINMENT
She erupt in joy,CONTAINMENT
He's bursting with excitement.,CONTAINMENT
That joke is side-splittingly funny.,CONTAINMENT
I am filled with sorrow.,CONTAINMENT
It included sadness,CONTAINMENT
sadness filled his heart,CONTAINMENT
Her eye filled with sadness,CONTAINMENT
Her (heart/voice) was full of sadness,CONTAINMENT
filled up with sadness,CONTAINMENT
be filled with sadness,CONTAINMENT
contain/hold sadness,CONTAINMENT
She filled him with sadness,CONTAINMENT
burst of sadness,CONTAINMENT
He filled her with disgust,CONTAINMENT
disgust filled them,CONTAINMENT
They were full of disgust,CONTAINMENT
